ID,Title,Authors,Year,Journal,DOI,PMID,Research_Objective,Study_Design,Methodology,Major_Findings,Limitations,Relevance,Research_Gap
1,"Adverse events in different administration routes of semaglutide: a pharmacovigilance study based on FAERS",FAERS Semaglutide Routes Study Authors,2024,Frontiers in Pharmacology,10.3389/fphar.2024.1414268,38887555,Compare ADR profiles across semaglutide administration routes,Retrospective pharmacovigilance analysis,FAERS disproportionality analysis (ROR) comparing oral vs subcutaneous semaglutide,Different ADR profiles identified for oral vs subcutaneous routes; GI events more common with oral,FAERS limitations (voluntary reporting; no denominator); potential reporting bias,Directly relevant - establishes baseline ADR landscape for semaglutide using FAERS,Route-specific psychiatric ADR analysis not performed
2,"Comparative analysis of semaglutide induced adverse reactions: FAERS database and social media reviews",FAERS Social Media Study Authors,2024,Frontiers in Pharmacology,10.3389/fphar.2024.1471615,39502525,Compare FAERS and social media ADR reporting for semaglutide,Mixed-methods pharmacovigilance,FAERS disproportionality analysis + social media text mining,Social media captures patient-reported ADRs not well represented in FAERS; complementary data sources,Social media data quality; selection bias; FAERS voluntary reporting,Demonstrates need for multi-source pharmacovigilance approaches,Integration of social media with FAERS for psychiatric signal detection unexplored
3,"A real-world disproportionality analysis of semaglutide: Post-marketing pharmacovigilance data",Semaglutide Disproportionality Authors,2024,Journal of Diabetes Investigation,10.1111/jdi.14229,38943656,Comprehensive disproportionality analysis of semaglutide in FAERS,Retrospective pharmacovigilance,ROR and PRR analysis across multiple ADR categories,Multiple disproportionate signals identified across organ systems,FAERS inherent limitations; confounding by indication,Core reference for disproportionality methodology applied to semaglutide,Psychiatric ADR category requires deeper comparative analysis
4,"Semaglutide: NAION in FAERS - A disproportionality analysis",Semaglutide NAION Study Authors,2025,Obesity Research & Clinical Practice,10.1016/j.orcp.2025.01.011,39922760,Investigate semaglutide-NAION association in FAERS,Retrospective pharmacovigilance,FAERS disproportionality analysis for ophthalmic events,Significant disproportionate signal for NAION with semaglutide,FAERS limitations; small absolute numbers; confounding,Demonstrates FAERS detecting novel signals not identified in RCTs,Cross-system ADR comparison (ophthalmic vs psychiatric) needed
5,"Mortality and SAEs Associated with GLP-1 RAs: FAERS Pharmacovigilance Study",GLP-1 Mortality Study Authors,2024,Cureus,10.7759/cureus.65989,39221363,Evaluate mortality and SAE patterns for GLP-1 RAs in FAERS,Retrospective pharmacovigilance,FAERS analysis of serious outcomes including death,Identified patterns of serious adverse events and mortality reports,FAERS limitations; no causation; reporting bias,Provides context for severity of ADR signals,Psychiatric ADR severity (suicidality outcomes) needs specific analysis
6,"Depression and suicide/self-injury signals for weight loss medications: FAERS disproportionality analysis",Depression Suicide Weight Loss Authors,2025,Journal of Affective Disorders,10.1016/j.jad.2025.119670,40523410,Analyze depression/suicidality signals for semaglutide liraglutide tirzepatide,Retrospective pharmacovigilance,FAERS disproportionality analysis with multiple GLP-1 RA comparison,Depression and suicidality signals identified; differences across GLP-1 RAs,FAERS limitations; confounding by comorbid depression; Weber effect,Most directly relevant - psychiatric ADR signal detection for the target drug,Active comparator (SGLT2i) analysis for psychiatric ADRs not performed
7,"READUS-PV: Reporting of Disproportionality Analysis for Drug Safety Signal Detection","Khouri, C. et al.",2024,Drug Safety,10.1007/s40264-024-01421-9,38713347,Develop standardized reporting checklist for disproportionality analyses,Methodological guideline development,Delphi consensus + systematic review,14-item reporting checklist (READUS-PV) for transparent disproportionality analyses,Checklist compliance voluntary; may not capture all quality dimensions,Provides methodological framework for this project's FAERS analysis,Checklist application to psychiatric ADR-specific analyses not demonstrated
8,"Once-Weekly Semaglutide in Adults with Overweight or Obesity (STEP 1)","Wilding, J.P.H. et al.",2021,New England Journal of Medicine,10.1056/NEJMoa2032183,33567185,Evaluate semaglutide 2.4mg for weight management,Randomized double-blind placebo-controlled Phase 3 trial,2:1 randomization; 68 weeks; N=1961; co-primary endpoints,14.9% mean weight reduction; primarily GI adverse events; high completion rate,Industry-sponsored; psychiatric exclusions; short duration; no active comparator,Baseline controlled trial data for comparison with FAERS findings,Psychiatric ADR monitoring limited by exclusion criteria and sample size
9,"WHO Data on Semaglutide Liraglutide and Suicidality","Schoretsanitis, G. et al.",2024,JAMA Network Open,10.1001/jamanetworkopen.2024.23385,39163046,Analyze suicidality signals for GLP-1 RAs in WHO VigiBase,Retrospective pharmacovigilance,WHO VigiBase disproportionality analysis,Suicidal ideation signal for semaglutide especially with antidepressant co-prescription,VigiBase limitations similar to FAERS; confounding; observational,Corroborates FAERS psychiatric signals using independent database,Need for prospective validation; antidepressant interaction mechanism unclear
10,"GLP-1 RAs and suicidality: reports to FAERS","McIntyre, R.S. et al.",2024,Expert Opinion on Drug Safety,10.1080/14740338.2023.2295397,38087976,Evaluate GLP-1 RA suicidality signals in FAERS,Retrospective pharmacovigilance + Bradford Hill analysis,FAERS disproportionality analysis with causality assessment framework,Disproportionate suicidal ideation reporting but no causal link by Bradford Hill criteria,FAERS limitations; Bradford Hill criteria cannot definitively exclude causation,Critical nuanced analysis distinguishing signal from causation,Prospective studies needed to resolve causation question
11,"Semaglutide and suicidal ideation risk in real-world cohort","Wang, W. et al.",2024,Nature Medicine,10.1038/s41591-023-02672-2,38182782,Assess semaglutide-suicidal ideation association using EHR data,Retrospective cohort study,EHR-based cohort analysis with propensity score matching,Semaglutide associated with LOWER risk of suicidal ideation (contradicts FAERS),Observational; residual confounding; EHR coding limitations,Key contradictory finding - challenges FAERS psychiatric signal interpretation,Reconciliation of FAERS signal vs protective EHR finding needed
12,"GI Safety of GLP-1 RAs in US: FAERS Analysis","Osei, S.P. et al.",2024,Diagnostics,NEEDS_VERIFICATION,39767190,Assess GI safety profile of GLP-1 RAs,Retrospective pharmacovigilance,FAERS analysis of GI adverse events (16000+ reports),Strong GI ADR association (nausea vomiting delayed gastric emptying),FAERS limitations; GI events well known,Provides GI ADR context for comparison with psychiatric signals,Psychiatric vs GI ADR comparative severity analysis lacking
13,"Anti-obesity medications and digestive adverse events: FAERS study","Yang, Q. et al.",2024,BMC Pharmacology and Toxicology,NEEDS_VERIFICATION,39267168,Stratified analysis of digestive ADEs for anti-obesity drugs,Retrospective pharmacovigilance,FAERS stratified analysis comparing semaglutide and liraglutide,Semaglutide/liraglutide correlation with GI events; pancreatitis signals,FAERS limitations; stratification may reduce power,Methodological reference for stratified FAERS analysis approach,Cross-system stratified analysis (GI + psychiatric) not performed
14,"GLP-1 RA metabolic and nutritional adverse events","He, L. et al.",2024,Frontiers in Pharmacology,NEEDS_VERIFICATION,39040467,Evaluate metabolic/nutritional safety of GLP-1 RAs,Retrospective pharmacovigilance,FAERS analysis of metabolic adverse events,Metabolic safety signatures including dehydration and hypoglycemia profiles,FAERS limitations; metabolic confounding with weight loss,Broadens ADR profile understanding beyond GI and psychiatric,Metabolic ADR interaction with psychiatric outcomes unexplored
15,"Ophthalmic ADRs with GLP-1 RAs: FAERS pharmacovigilance","Zhou, J. et al.",2025,Endocrine,NEEDS_VERIFICATION,39578328,Evaluate ophthalmic ADR risk with GLP-1 RAs,Retrospective pharmacovigilance,FAERS disproportionality analysis for ophthalmic events (5000+ reports),Significant ophthalmic ADR signals including retinopathy and visual impairment,FAERS limitations; confounding by diabetes (diabetic retinopathy),Cross-system ADR detection capability of FAERS,Multi-system ADR profiling (ophthalmic + psychiatric) in single analysis needed
16,"Alopecia with semaglutide and tirzepatide: FAERS disproportionality","Godfrey, D. et al.",2024,JEADV,NEEDS_VERIFICATION,38925559,Evaluate alopecia signal for semaglutide/tirzepatide in FAERS,Retrospective pharmacovigilance,FAERS disproportionality analysis 2022-2023,Statistically significant alopecia signal for both drugs,Short time window; confounding with weight loss; FAERS limitations,Novel ADR identification demonstrating FAERS value for emerging signals,Weight-loss-mediated vs drug-mediated ADR mechanism unclear
17,"Alopecia with GLP-1 RAs: Scoping Review","Rojas Lopez, M. et al.",2025,JAAD Case Reports,NEEDS_VERIFICATION,40787040,Review alopecia evidence associated with GLP-1 RAs,Scoping review,Systematic literature review with case report analysis,Corroborates FAERS alopecia signal with clinical case evidence,Scoping review limitations; small case numbers,Demonstrates FAERS-to-clinical validation pathway,Prospective dermatological monitoring studies needed
