ID,PMID,DOI,Title,Authors,Year,Journal
1,38887555,10.3389/fphar.2024.1414268,Adverse events in different administration routes of semaglutide: FAERS study,Author,2024,Frontiers in Pharmacology
2,39502525,10.3389/fphar.2024.1471615,Comparative analysis semaglutide FAERS + social media,Author,2024,Frontiers in Pharmacology
3,38943656,10.1111/jdi.14229,Real-world disproportionality analysis semaglutide,Author,2024,J Diabetes Investig
4,39922760,10.1016/j.orcp.2025.01.011,Semaglutide NAION FAERS,Author,2025,Obesity Res Clin Pract
5,39221363,10.7759/cureus.65989,Mortality and SAEs with GLP-1 RAs in FAERS,Author,2024,Cureus
6,40523410,10.1016/j.jad.2025.119670,Depression/suicide signals for weight loss meds in FAERS,Author,2025,J Affect Disord
7,38713347,10.1007/s40264-024-01421-9,READUS-PV reporting checklist,Author,2024,Drug Safety
8,33567185,10.1056/NEJMoa2032183,STEP 1 Trial - Wilding et al.,Wilding et al.,2021,NEJM
9,39163046,10.1001/jamanetworkopen.2024.23385,WHO data semaglutide suicidality,Author,2024,JAMA Network Open
10,38087976,10.1080/14740338.2023.2295397,GLP-1 RAs suicidality FAERS,Author,2024,Expert Opin Drug Saf
11,38182782,10.1038/s41591-023-02672-2,Semaglutide suicidal ideation real-world cohort,Author,2024,Nature Medicine
12,39767190,,GI safety GLP-1 RAs FAERS,Author,2024,Diagnostics
13,39267168,,Anti-obesity meds digestive ADEs FAERS,Author,2024,BMC Pharmacol Toxicol
14,39040467,,GLP-1 RA metabolic/nutritional ADEs,Author,2024,Front Pharmacol
15,39578328,,Ophthalmic ADRs GLP-1 RAs FAERS,Author,2025,Endocrine
16,38925559,,Alopecia semaglutide tirzepatide FAERS,Author,2024,JEADV
17,40787040,,Alopecia GLP-1 RAs scoping review,Author,2025,JAAD Case Reports
